Index,TrainVideoCount,KnowledgeGraphId,Name,WikiUrl,Vertical1,Vertical2,Vertical3,WikiDescription
0,788288,/m/03bt1gh,Game,https://en.wikipedia.org/wiki/Game,Games,,,"A game is structured form of play, usually undertaken for enjoyment and sometimes used as an educational tool. Games are distinct from work, which is usually carried out for remuneration, and from art, which is more often an expression of aesthetic or ideological elements. However, the distinction is not clear-cut, and many games are also considered to be work or art. Key components of games are goals, rules, challenge, and interaction. Games generally involve mental or physical stimulation, and often both. Many games help develop practical skills, serve as a form of exercise, or otherwise perform an educational, simulational, or psychological role. Attested as early as 2600 BC, games are a universal part of human experience and present in all cultures. The Royal Game of Ur, Senet, and Mancala are some of the oldest known games."
1,539945,/m/01mw1,Video game,https://en.wikipedia.org/wiki/Video_game,Games,,,"A video game is an electronic game that involves human or animal interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor. The word video in video game traditionally referred to a raster display device, but as of the 2000s, it implies any type of display device that can produce two- or three-dimensional images. Some theorists categorize video games as an art form, but this designation is controversial. The electronic systems used to play video games are known as platforms; examples of these are personal computers and video game consoles. These platforms range from large mainframe computers to small handheld computing devices. Specialized video games such as arcade games, in which the video game components are housed in a large, coin-operated chassis, while common in the 1980s in video arcades, have gradually declined in use due to the widespread availability of affordable home video game consoles and video games on desktop and laptop computers and smartphones. The input device used for games, the game controller, varies across platforms."
2,415890,/m/07yv9,Vehicle,https://en.wikipedia.org/wiki/Vehicle,Autos & Vehicles,,,"A vehicle is a mobile machine that transports people or cargo. Typical vehicles include wagons, bicycles, motor vehicles, railed vehicles, watercraft, aircraft and spacecraft. Land vehicles are classified broadly by what is used to apply steering and drive forces against the ground: wheeled, tracked, railed or skied. ISO 3833-1977 is the standard, also internationally used in legislation, for road vehicles types, terms and definitions."
3,378135,/m/01jddz,Concert,https://en.wikipedia.org/wiki/Concert,Arts & Entertainment,,,"A concert is a live music performance in front of an audience. A recital is a concert by a soloist or small group which follows a program, such as featuring the works of a single composer. A recitalist is a musician who gives frequent recitals. The invention of the solo piano recital has been attributed to Franz Liszt. The performance may be by a single musician, sometimes then called a recital, or by a musical ensemble, such as an orchestra, choir, or band. Concerts are held in a wide variety and size of settings, from private houses and small nightclubs, dedicated concert halls, entertainment centres and parks to large multipurpose buildings, and even sports stadiums. Indoor concerts held in the largest venues are sometimes called arena concerts or amphitheatre concerts. Informal names for a concert include show and gig. Regardless of venue, musicians usually perform on a stage. Concerts often require live event support with professional audio equipment. Before recorded music, concerts provided the main opportunity to hear musicians play."
4,286532,/m/09jwl,Musician,https://en.wikipedia.org/wiki/Musician,Arts & Entertainment,,,"A musician is a person who plays a musical instrument or is musically talented. Anyone who composes, conducts, or performs music may also be referred to as a musician. Musicians can specialize in any musical style, and some musicians play in a variety of different styles. Examples of a musician's possible skills include performing, conducting, singing, composing, arranging, and the orchestration of music."
5,236948,/m/0215n,Cartoon,https://en.wikipedia.org/wiki/Cartoon,Arts & Entertainment,,,"A cartoon is a type of two-dimensional illustration. While the specific definition has changed over time, modern usage refers to a typically non-realistic or semi-realistic artistic style of drawing or painting, an image or series of images intended for satire, caricature, or humor, or a motion picture that relies on a sequence of illustrations for its animation. An artist who creates cartoons is called a cartoonist. The concept originated in the Middle Ages and first described a preparatory drawing for a piece of art, such as a painting, fresco, tapestry, or stained glass window. In the 19th century, it came to refer to humorous illustrations in magazines and newspapers, and after the early 20th century, it referred to comic strips and animated films. In the 21st century, cartoons could be published on the Internet."
6,203343,/m/01350r,Performance art,https://en.wikipedia.org/wiki/Performance_art,Arts & Entertainment,,,"Performance art is a performance presented to an audience within a fine art context, traditionally interdisciplinary. Performance may be either scripted or unscripted, random or carefully orchestrated; spontaneous or otherwise carefully planned with or without audience participation. The performance can be live or via media; the performer can be present or absent. It can be any situation that involves four basic elements: time, space, the performer's body, or presence in a medium, and a relationship between performer and audience. Performance art can happen anywhere, in any type of venue or setting and for any length of time. The actions of an individual or a group at a particular place and in a particular time constitute the work."
7,200813,/m/0k4j,Car,https://en.wikipedia.org/wiki/Car,Autos & Vehicles,,,"A car is a wheeled, self-powered motor vehicle used for transportation and a product of the automotive industry. Most definitions of the term specify that cars are designed to run primarily on roads, to have seating for one to eight people, to typically have four wheels with tyres, and to be constructed principally for the transport of people rather than goods. The year 1886 is regarded as the birth year of the modern car. In that year, German inventor Karl Benz built the Benz Patent-Motorwagen. Cars did not become widely available until the early 20th century. One of the first cars that was accessible to the masses was the 1908 Model T, an American car manufactured by the Ford Motor Company. Cars were rapidly adopted in the United States of America, where they replaced animal-drawn carriages and carts, but took much longer to be accepted in Western Europe and other parts of the world. Cars are equipped with controls used for driving, parking, passenger comfort and safety, and controlling a variety of lights. Over the decades, additional features and controls have been added to vehicles, making them progressively more complex."
8,181579,/m/026bk,Dance,https://en.wikipedia.org/wiki/Dance,Arts & Entertainment,,,"Dance is a performance art form consisting of purposefully selected sequences of human movement. This movement has aesthetic and symbolic value, and is acknowledged as dance by performers and observers within a particular culture. Dance can be categorized and described by its choreography, by its repertoire of movements, or by its historical period or place of origin. An important distinction is to be drawn between the contexts of theatrical and participatory dance, although these two categories are not always completely separate; both may have special functions, whether social, ceremonial, competitive, erotic, martial, or sacred/liturgical. Other forms of human movement are sometimes said to have a dance-like quality, including martial arts, gymnastics, figure skating, synchronized swimming and many other forms of athletics."
9,156226,/m/0342h,Guitar,https://en.wikipedia.org/wiki/Guitar,Arts & Entertainment,,,"The guitar is a musical instrument classified as a string instrument with anywhere from four to 18 strings, usually having six. The sound is projected either acoustically, using a hollow wooden or plastic and wood box, or through electrical amplifier and a speaker. It is typically played by strumming or plucking the strings with the fingers, thumb and/or fingernails of the right hand or with a pick while fretting the strings with the fingers of the left hand. The guitar is a type of chordophone, traditionally constructed from wood and strung with either gut, nylon or steel strings and distinguished from other chordophones by its construction and tuning. The modern guitar was preceded by the gittern, the vihuela, the four-course Renaissance guitar, and the five-course baroque guitar, all of which contributed to the development of the modern six-string instrument. There are three main types of modern acoustic guitar: the classical guitar, the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar""."
10,144667,/m/0d8lm,String instrument,https://en.wikipedia.org/wiki/String_instrument,Arts & Entertainment,,,"String instruments, stringed instruments, or chordophones are musical instruments that produce sound from vibrating strings when the performer plays or sounds the strings in some manner. Musicians play some string instruments by plucking the strings with their fingers or a plectrum?îand others by hitting the strings with a light wooden hammer or by rubbing the strings with a bow. In some keyboard instruments, such as the harpsichord or piano, the musician presses a key that plucks the string or strikes it with a hammer. With bowed instruments, the player rubs the strings with a horsehair bow, causing them to vibrate. With a hurdy-gurdy, the musician operates a mechanical wheel that rubs the strings. Bowed instruments include the string section instruments of the Classical music orchestra and a number of other instruments. All of the bowed string instruments can also be plucked with the fingers, a technique called ""pizzicato""."
11,135357,/m/02wbm,Food,https://en.wikipedia.org/wiki/Food,Food & Drink,,,"Food is any substance consumed to provide nutritional support for the body. It is usually of plant or animal origin, and contains essential nutrients, such as carbohydrates, fats, proteins, vitamins, or minerals. The substance is ingested by an organism and assimilated by the organism's cells to provide energy, maintain life, or stimulate growth. Historically, people secured food through two methods: hunting and gathering and agriculture. Today, the majority of the food energy required by the ever increasing population of the world is supplied by the food industry. Food safety and food security are monitored by agencies like the International Association for Food Protection, World Resources Institute, World Food Programme, Food and Agriculture Organization, and International Food Information Council. They address issues such as sustainability, biological diversity, climate change, nutritional economics, population growth, water supply, and access to food."
12,130835,/m/02vx4,Association football,https://en.wikipedia.org/wiki/Association_football,Sports,,,"Association football, more commonly known as football or soccer, is a team sport played between two teams of eleven players with a spherical ball. It is played by 250 million players in over 200 countries and dependencies, making it the world's most popular sport. The game is played on a rectangular field with a goal at each end. The object of the game is to score by getting the ball into the opposing goal. The goalkeepers are the only players allowed to touch the ball with their hands or arms while it is in play and only in their penalty area. Other players mainly use their feet to strike or pass the ball, but may also use their head or torso. The team that scores the most goals by the end of the match wins. If the score is level at the end of the game, either a draw is declared or the game goes into extra time or a penalty shootout depending on the format of the competition. The Laws of the Game were originally codified in England by The Football Association in 1863. Association football is governed internationally by the International Federation of Association Football, which organises World Cups for both men and women every four years."
13,125668,/m/05229,Musical ensemble,https://en.wikipedia.org/wiki/Musical_ensemble,Arts & Entertainment,,,"A musical ensemble, also known as a music group or musical group, is a group of people who perform instrumental and/or vocal music, with the ensemble typically known by a distinct name. Some music ensembles consist solely of instruments, such as the jazz quartet or the orchestra. Some music ensembles consist solely of singers, such as choirs and doo wop groups. In both popular music and classical music, there are ensembles in which both instrumentalists and singers perform, such as the rock band or the Baroque chamber group for basso continuo and one or more singers. In classical music, trios or quartets either blend the sounds of musical instrument families or group together instruments from the same instrument family, such as string ensembles or wind ensembles. Some ensembles blend the sounds of a variety of instrument families, such as the orchestra, which uses a string section, brass instruments, woodwinds and percussion instruments, or the concert band, which uses brass, woodwinds and percussion. In jazz ensembles, the instruments typically include wind instruments, one or two chordal ""comping"" instruments, a bass instrument, and a drummer or percussionist."
14,116098,/m/0mdxd,Music video,https://en.wikipedia.org/wiki/Music_video,Arts & Entertainment,,,"A music video is a short film integrating a song and imagery, produced for promotional or artistic purposes. Modern music videos are primarily made and used as a marketing device intended to promote the sale of music recordings. There are also cases where songs are used in tie in marketing campaigns that allow them to become more than just a song. Tie ins and merchandising could be used in toys or marketing campaigns for food and other products. Although the origins of music videos date back to musical short films that first appeared in the 1920s, they came into prominence in the 1980s when MTV based their format around the medium. Prior to the 1980s, these works were described by various terms including ""illustrated song"", ""filmed insert"", ""promotional film"", ""promotional clip"", ""promotional video"", ""song video"", ""song clip"" or ""film clip"". Since the creation and increased popularity of YouTube, mainstream artists now promote new music videos by releasing trailers of short promos on the site for their upcoming song and music video. Consequentially, YouTube has been converted into a social media platform for celebrities and artists to market themselves to their fans"
15,107788,/m/0jbk,Animal,https://en.wikipedia.org/wiki/Animal,Pets & Animals,,,"Animals are multicellular, eukaryotic organisms of the kingdom Animalia. The animal kingdom emerged as a basal clade within Apoikozoa as a sister of the choanoflagellates. Sponges are the most basal clade of animals. Animals are motile, meaning they can move spontaneously and independently at some point in their lives. Their body plan eventually becomes fixed as they develop, although some undergo a process of metamorphosis later in their lives. All animals are heterotrophs: they must ingest other organisms or their products for sustenance. Most known animal phyla appeared in the fossil record as marine species during the Cambrian explosion, about 542 million years ago. Animals can be divided broadly into vertebrates and invertebrates. Vertebrates have a backbone or spine, and amount to less than five percent of all described animal species. They include fish, amphibians, reptiles, birds and mammals. The remaining animals are the invertebrates, which lack a backbone. These include molluscs; arthropods; annelids, nematodes, flatworms, cnidarians, ctenophores, and sponges. The study of animals is called zoology."
16,98140,/m/0hcr,Animation,https://en.wikipedia.org/wiki/Animation,Arts & Entertainment,,,"Animation is the process of making the illusion of motion and the illusion of change by means of the rapid display of a sequence of images that minimally differ from each other. The illusion?îas in motion pictures in general?îis thought to rely on the phi phenomenon. Animators are artists who specialize in the creation of animation. Animation can be recorded with either analogue media, a flip book, motion picture film, video tape, digital media, including formats with animated GIF, Flash animation, and digital video. To display animation, a digital camera, computer, or projector are used along with new technologies that are produced. Animation creation methods include the traditional animation creation method and those involving stop motion animation of two and three-dimensional objects, paper cutouts, puppets and clay figures. Images are displayed in a rapid succession, usually 24, 25, 29, 30, or 60 frames per second. Computer animation processes generating animated images with the general term computer-generated imagery. 3D animation uses computer graphics, while 2D animation is used for stylistic, low bandwidth and faster real-time renderings."
